Date,Open,High,Low,Close,Volume,Market Cap
"Oct 03, 2016",0.177613,0.192425,0.177613,0.178713,913,-
"Oct 02, 2016",0.202302,0.202303,0.177092,0.177279,4178,-
"Oct 01, 2016",0.184979,0.216455,0.184979,0.202293,2748,-
"Sep 30, 2016",0.191685,0.194601,0.180176,0.184939,2032,-
"Sep 29, 2016",0.194845,0.208155,0.175516,0.191738,11050,-
"Sep 28, 2016",0.197915,0.21275,0.184495,0.194798,6354,-
"Sep 27, 2016",0.202473,0.202473,0.179976,0.197913,19806,-
"Sep 26, 2016",0.199118,0.224506,0.193879,0.202491,9657,-
"Sep 25, 2016",0.213843,0.224547,0.192797,0.198994,3075,-
"Sep 24, 2016",0.243321,0.25485,0.213843,0.213843,21740,-
"Sep 23, 2016",0.252745,0.277371,0.241462,0.243237,16845,-
"Sep 22, 2016",0.303806,0.308768,0.252592,0.252723,54002,-
"Sep 21, 2016",0.312539,0.318675,0.303564,0.303794,156,-
"Sep 20, 2016",0.331291,0.336507,0.309502,0.312621,1171,-
"Sep 19, 2016",0.384877,0.384881,0.331207,0.331296,1448,-
"Sep 18, 2016",0.426591,0.427137,0.384916,0.384916,105159,-
"Sep 17, 2016",0.388924,0.427314,0.388896,0.426568,21060,-
"Sep 16, 2016",0.349726,0.389464,0.348948,0.388858,15105,-
"Sep 15, 2016",0.325188,0.365124,0.325024,0.349832,1982,-
"Sep 14, 2016",0.309516,0.337779,0.306223,0.325127,4129,-
"Sep 13, 2016",0.374469,0.375092,0.301766,0.309509,3337,-
"Sep 12, 2016",0.376312,0.376671,0.360443,0.374598,1116,-
"Sep 11, 2016",0.390948,0.398459,0.37279,0.37615,879,-
"Sep 10, 2016",0.558536,0.559143,0.37096,0.391001,811,-
"Sep 09, 2016",0.181483,0.558951,0.181357,0.558478,1349,-
